critic_name,top_critic,publisher_name,total_reviews,agreement_rate,big_movie_agreement_rate,fresh_rate,tier
Amber Wilkinson,True,,100,0.9178,1.0,0.96,veteran
Amelia Berry,False,"Flicks (AU, NZ, UK)",16,0.9375,,0.8125,newcomer
Amelia Harvey,True,,100,0.86,0.84,0.86,veteran
Amon Warmann,False,Empire Magazine,100,0.78,,0.71,veteran
Amparo Cabal,False,EscribiendoCine,46,0.9459,,0.913,established
Amy Amatangelo,True,,55,0.7636,,0.6545,established
Amy Thomasson,False,InSession Film,19,0.8421,,0.8421,newcomer
Amy West,True,,100,0.85,,0.81,veteran
Ana Yorke,True,,47,0.9362,1.0,0.9362,established
Anandu Suresh,False,The Indian Express,26,0.6923,,0.3077,newcomer
Andi Zeisler,False,Bitch Media,12,0.6667,,1.0,newcomer
Andiee Paviour,True,,100,0.9684,0.9444,1.0,veteran
Andre Meadows,True,,100,0.79,0.6667,0.89,veteran
Andrea Beach,False,Common Sense Media,100,0.7143,,0.75,veteran
Andrea Chase,True,,100,0.8469,0.8108,0.82,veteran
Andrea G. Bermejo,False,Cinemanía (Spain),100,0.9231,1.0,0.99,veteran
Andrea Schmidt,False,MovieJawn,8,0.7143,,0.875,newcomer
Andrea Thompson,True,,100,0.7604,0.7,0.73,veteran
Andrea Zamora,False,Sensacine,100,0.8256,0.9167,0.92,veteran
Andres Cabrera,False,Geeks of Color,17,1.0,1.0,1.0,newcomer
Andrew Chan,False,Film Comment Magazine,23,0.6522,,0.6087,newcomer
Andrew Dex,False,Starburst,21,0.8095,1.0,0.9048,newcomer
Andrew Dignan,False,Slant Magazine,100,0.5051,0.625,0.3,veteran
Andrew Fukui,False,Geek Vibes Nation,20,0.6316,,0.95,newcomer
Andrew Gruttadaro,False,The Ringer,8,0.75,,0.875,newcomer
Andrew Jankowski,False,Willamette Week,9,0.4286,,0.5556,newcomer
Andrew Lawrence,False,Guardian,20,0.75,,0.65,newcomer
Andrew Mack,False,ScreenAnarchy,76,0.875,,0.9474,established
Andrew Marzoni,False,The New Republic,7,0.7143,,0.7143,newcomer
Andrew Osborne,False,culturevulture.net,32,0.8966,,0.9062,established
Andrew Osmond,False,Empire Magazine,56,0.7321,,0.7143,established
Andrew Parker,True,,100,0.7727,0.8,0.73,veteran
Andrew Reichel,False,In Review Online,12,0.6364,,0.5833,newcomer
Andrew Webster,False,The Verge,71,0.8,1.0,0.7887,established
André Hereford,True,,100,0.8261,0.8148,0.74,veteran
Andrés Salas,False,Cinemanía (Spain),16,0.7692,,0.875,newcomer
Andy Dehnart,True,,14,0.6667,,0.7143,newcomer
Andy Howell,False,Film Threat,85,0.8378,,0.9412,established
Andy Punter,False,InSession Film,11,1.0,,0.8182,newcomer
Angelo Muredda,False,Film Freak Central,100,0.7396,0.5455,0.71,veteran
Anita Singh,False,Daily Telegraph (UK),67,0.8723,,0.8657,established
Ankit Ojha,True,,100,0.798,,0.79,veteran
Ann Marie Hourihane,False,Irish Independent,11,0.625,,0.5455,newcomer
Anna Menta,True,,80,0.7875,,0.85,established
Anna Miller,True,,61,0.9508,1.0,0.8689,established
Anna Stafford,False,Globe and Mail,5,1.0,,1.0,newcomer
Anne Brodie,True,,100,0.8916,1.0,0.9,veteran
Anne T. Donahue,False,Globe and Mail,47,0.913,,0.7447,established
Annette Basile,False,FILMINK (Australia),100,0.7033,,0.86,veteran
Anni Glissman,False,Mediaversity Reviews,5,0.8,,0.2,newcomer
Annie Berke,False,AV Club,7,0.5714,0.3333,0.7143,newcomer
Anthony Breznican,False,Associated Press,11,0.8182,,0.6364,newcomer
Anthony Gagliardi,False,The Movie Podcast,22,0.9091,0.8462,0.9545,newcomer
Anthony O'Connor,False,FILMINK (Australia),100,0.87,0.8788,0.88,veteran
Anthony Whyte,True,,48,0.8,0.875,0.8542,established
Antonio Trashorras,False,Fotogramas,100,0.8367,0.8571,0.95,veteran
Anuj Kumar,True,,100,0.7889,,0.47,veteran
Anupama Chopra,True,,100,0.7753,1.0,0.53,veteran
Anushka Halve,False,Film Companion,24,0.8696,0.6,0.8333,newcomer
Anzhe Zhang,False,Slant Magazine,11,0.6364,,0.2727,newcomer
Aparita Bhandari,False,Toronto Star,96,0.8617,1.0,0.7917,established
April Neale,False,AWFJ.org,10,0.875,,1.0,newcomer
Aprillé Morris,True,,9,0.6667,0.6667,0.7778,newcomer
Aramide Tinubu,True,,100,0.8438,,0.88,veteran
Archi Sengupta,True,,100,0.7647,0.6667,0.48,veteran
Archika Khurana,False,The Times of India,100,0.6707,,0.79,veteran
Ard Vijn,True,,100,0.8052,,0.94,veteran
Arjun Menon,False,The Indian Express,6,0.6667,,0.6667,newcomer
Arjun Sajip,False,Sight & Sound,10,0.7,,0.9,newcomer
Armond White,True,,100,0.433,0.1786,0.44,veteran
Ashley Bissette Sumerel,True,,12,0.75,,0.9167,newcomer
Ashley Morales,False,MovieJawn,11,1.0,,0.8182,newcomer
Ashley Moulton,False,Common Sense Media,22,0.8333,,1.0,newcomer
Asyia Iftikhar,False,metro.co.uk,9,0.8889,,0.7778,newcomer
Audrey Vann,False,"The Stranger (Seattle, WA)",8,0.8333,,0.875,newcomer
Avi Offer,True,,100,0.7595,0.75,0.7,veteran
Aviva Dove-Viebahn,True,,64,0.9194,,0.9375,established
Awais Irfan,True,,27,0.8077,0.875,0.8148,newcomer
Barbara Shulgasser,False,Chicago Tribune,100,0.5965,,0.43,veteran
Barry Levitt,False,Empire Magazine,65,0.7812,,0.7077,established
Beatrice Loayza,False,New York Times,100,0.7872,0.7143,0.74,veteran
Beatrine Shahzad,False,Discussing Film,8,0.75,1.0,0.75,newcomer
Beatriz Martínez,False,Sensacine,100,0.8734,,0.97,veteran
Becky Darke,False,Total Film,5,0.8,,0.8,newcomer
Bedatri D. Choudhury,True,,72,0.8939,,0.9167,established
Begoña Piña,False,Cinemanía (Spain),23,0.9167,,0.8261,newcomer
Belen Prieto,False,Espinof,50,0.9268,1.0,0.94,established
Ben Allen,False,Radio Times,9,0.5556,0.5,0.6667,newcomer
Ben Dowell,False,The Times (UK),25,0.9375,,1.0,newcomer
Ben Glidden,False,Film Threat,9,1.0,,1.0,newcomer
Ben Kenigsberg,True,,100,0.7582,,0.72,veteran
Ben Lindbergh,False,The Ringer,10,1.0,,0.8,newcomer
Ben Miller,False,InSession Film,15,0.8667,,0.8,newcomer
Ben Morganti,False,CBR,7,1.0,1.0,1.0,newcomer
Ben Pearson,False,Slashfilm,76,0.8684,,0.8553,established
Ben Robins,False,HeyUGuys,60,0.85,,0.8833,established
Ben Sears,False,Loud and Clear Reviews,16,0.8,,0.8125,newcomer
Ben Sherlock,False,Screen Rant,15,0.8667,,0.7333,newcomer
Ben Travers,True,,43,0.7317,,0.6512,established
Ben Travis,False,Empire Magazine,100,0.73,1.0,0.82,veteran
Ben Wasserman,True,,67,0.8507,0.9524,0.8806,established
Benjamin Franz,False,Film Threat,100,0.8594,,0.99,veteran
Benjamin Gummery,True,,97,0.8333,,0.8763,established
Benjamin H. Smith,False,Decider,100,0.7586,,0.81,veteran
Benjamín Harguindey,False,EscribiendoCine,100,0.7778,1.0,0.66,veteran
Benji Wilson,False,Daily Telegraph (UK),22,0.8571,,0.8182,newcomer
Beth Webb,False,Empire Magazine,94,0.8723,0.75,0.8617,established
Bethan Ackerley,True,,10,1.0,1.0,0.9,newcomer
Bethany Jean Clement,False,Seattle Times,8,1.0,,0.875,newcomer
Bethany Lola,False,Loud and Clear Reviews,29,0.7857,,1.0,newcomer
Betsy Sherman,True,,100,0.8065,,0.78,veteran
Bilge Ebiri,True,,100,0.8485,0.9643,0.8,veteran
Bill Bria,False,Slashfilm,100,0.64,0.7895,0.92,veteran
Bill Brioux,True,,64,0.9483,,0.9219,established
Bill Cooper,False,Spectrum Culture,19,0.4667,,0.4211,newcomer
Billie Anderson,False,MovieJawn,10,1.0,1.0,0.9,newcomer
Billie Melissa,True,,29,0.7586,0.8333,0.8621,newcomer
Billie Walker,False,Little White Lies,19,0.6842,,0.4211,newcomer
Blai Morell,False,Fotogramas,73,0.7692,0.75,0.9178,established
Blake Simons,False,Sight & Sound,16,0.9091,,0.8125,newcomer
Bob Ross,True,,100,0.84,,0.82,veteran
Bob Strauss,True,,100,0.8384,0.8333,0.77,veteran
Brad Wheeler,False,Globe and Mail,100,0.8367,,0.79,veteran
Bradley Russell,False,Total Film,5,0.6,0.3333,1.0,newcomer
Brady Langmann,False,Esquire Magazine,11,0.8182,,0.7273,newcomer
Brandon Lewis,True,,81,0.8333,0.92,0.9136,established
Brandon Zachary,False,Screen Rant,100,0.7273,,0.86,veteran
Branyan Towe,False,InSession Film,79,0.7089,0.8,0.9494,established
Breeze Riley,True,,20,0.75,1.0,0.8,newcomer
Bren Murphy,False,RTÉ (Ireland),35,0.8667,1.0,0.9143,established
Brennan Klein,False,Screen Rant,15,0.5714,,0.6667,newcomer
Brent Simon,True,,100,0.77,,0.53,veteran
Brett McCracken,True,,100,0.81,0.7059,0.82,veteran
Brian Bisesi,False,Horror Movie Club Podcast,100,0.73,0.8571,0.83,veteran
Brian Bromberger,False,Bay Area Reporter,100,0.8925,1.0,0.93,veteran
Brian Lowry,True,,100,0.76,0.8571,0.68,veteran
Brian Moylan,False,Guardian,28,0.7037,,0.7857,newcomer
Brian Orndorf,True,,100,0.7416,0.6,0.6,veteran
Brian Tallerico,True,,100,0.8313,1.0,0.68,veteran
Brian Ó Tiomáin,False,Film Ireland Magazine,12,1.0,,1.0,newcomer
Brittany Frederick,True,,11,0.6364,,0.7273,newcomer
Brogan Luke Bouwhuis,False,But Why Tho?,41,0.7561,0.8,0.7561,established
Brooke Obie,True,,80,0.6667,0.375,0.6125,established
Burt Peterson,False,SciFiNow,42,0.7381,0.5,0.9524,established
C.J. Prince,True,,100,0.7143,,0.59,veteran
Cain Noble-Davies,False,FILMINK (Australia),100,0.7753,0.75,0.81,veteran
Caitlin Kennedy,True,,100,0.77,0.8,0.78,veteran
Caitlin Wyneken,False,Tell-Tale TV,9,0.8571,,1.0,newcomer
Caleb Hammond,False,In Review Online,28,0.7857,1.0,0.7143,newcomer
Callie Hanna,False,FandomWire,26,0.68,,0.7692,newcomer
Calum Baker,False,Radio Times,100,0.9022,,0.91,veteran
Calum Marsh,False,New York Times,100,0.6263,,0.42,veteran
Calvin Law,False,AwardsWatch,36,0.9355,,1.0,established
Cameron Frew,True,,100,0.9192,0.8333,0.82,veteran
Cameron Ritter,False,InSession Film,100,0.875,1.0,0.83,veteran
Candice McMillan,True,,100,0.82,0.8302,0.67,veteran
Cara O'Doherty,True,,7,0.8571,0.8,1.0,newcomer
Caralynn Matassa,True,,32,0.875,0.9,0.7812,established
Carissa Pavlica,True,,56,0.72,,0.9821,established
Carl Wilson,False,Slate,9,0.5556,,0.3333,newcomer
Carla Renata,True,,100,0.866,0.9375,0.92,veteran
Carlos Cañas,False,El antepenúltimo mohicano,5,0.8,,0.6,newcomer
Carlos Marañón,False,Cinemanía (Spain),100,0.8667,,0.9,veteran
Carlos Morales,False,IGN Movies,9,0.8889,,0.6667,newcomer
Carlota Mosegui,False,Otroscines.com,49,0.8636,,0.9184,established
Carly Lane,True,,15,0.9333,,1.0,newcomer
Carmen Bryce,False,Film Ireland Magazine,6,0.8333,,0.8333,newcomer
Carolina G. Guerrero,False,EscribiendoCine,16,0.9231,,0.8125,newcomer
Caroline Framke,True,,30,0.8966,,0.7667,established
Carrie McClain,False,Black Nerd Problems,5,0.8,,0.8,newcomer
Cat Woods,False,The Age (Australia),10,0.9,,0.9,newcomer
Cate Young,True,,100,0.79,0.7,0.79,veteran
Catherine Springer,True,,100,0.78,,0.7,veteran
Catherine Wheatley,False,Sight & Sound,29,0.8276,,0.931,newcomer
Chalice Williams,False,Black Girl Nerds,19,0.6,0.75,1.0,newcomer
Charles Barfield,False,The Playlist,46,0.7609,,0.6304,established
Charles Bramesco,True,,100,0.7879,1.0,0.58,veteran
Charles Hartford,False,But Why Tho?,89,0.6627,,0.7978,established
Charles Johnston,False,Spectrum Culture,54,0.78,,0.7037,established
Charles Koplinski,True,,100,0.72,0.8387,0.74,veteran
Charles Lyons-Burt,False,Slant Magazine,40,0.7,0.3333,0.725,established
Charles Pulliam-Moore,True,,100,0.71,0.8,0.61,veteran
Charlotte O'Sullivan,True,,100,0.81,,0.83,veteran
Charlotte Simmons,True,,100,0.7604,0.7895,0.78,veteran
Chase Hutchinson,True,,100,0.7805,0.4375,0.73,veteran
Chelsea Alexandra,False,MovieJawn,14,0.7273,,0.7857,newcomer
Chitra Ramaswamy,False,Guardian,6,1.0,,1.0,newcomer
Chris Azzopardi,False,New York Times,39,0.8108,,0.6667,established
Chris Bennion,False,The Times (UK),39,0.7895,,0.8974,established
Chris Bumbray,True,,100,0.8081,0.7059,0.84,veteran
Chris Cassingham,True,,61,0.7347,,0.6721,established
Chris Gallardo,False,Tell-Tale TV,7,0.4286,,0.8571,newcomer
Chris Joyce,True,,100,0.7755,0.8519,0.76,veteran
Chris Knight,True,,100,0.8295,1.0,0.79,veteran
Chris Nashawaty,False,Entertainment Weekly,100,0.68,0.6667,0.75,veteran
Chris Richards,False,Washington Post,5,0.6,,0.4,newcomer
Chris Tait,True,,15,0.8,0.875,1.0,newcomer
Chris Tilly,True,,100,0.7475,0.9,0.89,veteran
Chris Ward,False,Flickering Myth,87,0.7,,0.7356,established
Chris Wasser,False,Sunday Independent (Ireland),100,0.7849,0.7333,0.67,veteran
Chris Willman,False,Variety,96,0.8824,,0.7396,established
Christen McCurdy,False,Bitch Media,6,0.6667,,0.8333,newcomer
Christian Blauvelt,False,Slant Magazine,61,0.9138,,0.918,established
Christian Craig,False,In Review Online,27,0.7917,1.0,0.6296,newcomer
Christian Holub,False,TV Guide,63,0.7619,1.0,0.5873,established
Christian Jones,False,Starburst,13,0.75,,0.8462,newcomer
Christian Toto,True,,100,0.6458,0.6471,0.74,veteran
Christian Zilko,False,IndieWire,100,0.8182,,0.87,veteran
Christina Brennan,False,Vague Visages,7,0.4,,0.5714,newcomer
Christina Izzo,False,AV Club,7,0.7143,,0.4286,newcomer
Christina Tucker,False,Slate,13,0.6154,,0.6154,newcomer
Christopher Connor,True,,74,0.9324,1.0,0.9324,established
Christopher Harris,False,Globe and Mail,8,1.0,,0.375,newcomer
Christopher La Vigna,False,MovieJawn,5,0.8,,0.8,newcomer
Christopher Lloyd,True,,100,0.6941,0.6667,0.76,veteran
Christopher Machell,True,,100,0.8333,,0.83,veteran
Christopher Schobert,True,,100,0.88,,0.85,veteran
Cinemanía Staff,False,Cinemanía (Spain),14,0.6923,,0.9286,newcomer
CJ Sheu,True,,100,0.7937,1.0,0.82,veteran
Claire Di Maio,False,The Young Folks,21,0.8,0.6667,0.9048,newcomer
Clara Cuccaro,False,In Review Online,15,0.6923,,0.6,newcomer
Clarence Tsui,False,The Hollywood Reporter,100,0.8649,,0.84,veteran
Claudia Connell,False,Daily Mail (UK),19,0.7,,0.7895,newcomer
Clement Tyler Obropta,False,Film Inquiry,55,0.64,,0.6182,established
Clint Cage,False,IGN Movies,15,0.9333,0.9091,0.8667,newcomer
Clint Gage,False,IGN Movies,7,1.0,1.0,1.0,newcomer
Clotilde Chinnici,True,,100,0.8229,0.7143,0.91,veteran
Coleman Spilde,False,Salon.com,100,0.732,0.5938,0.72,veteran
Colette Maude,False,,27,0.7407,,0.5185,newcomer
Colin Biggs,False,Movie Mezzanine,89,0.8539,1.0,0.7079,established
Collider Staff,False,Collider,7,0.7143,,1.0,newcomer
Colton Peregoy,False,MovieJawn,9,0.875,,0.7778,newcomer
Connor Lightbody,True,,100,0.7778,0.6429,0.75,veteran
Conor Bryce,False,Film Ireland Magazine,11,0.8182,,1.0,newcomer
Conor O'Donnell,False,The Film Stage,50,0.7959,1.0,0.8,established
Corey Atad,False,Little White Lies,14,0.8571,,0.7857,newcomer
Cortlyn Kelly,False,Chicago Reader,23,0.6667,0.75,0.7391,newcomer
Courtney Howard,True,,100,0.6869,0.7188,0.67,veteran
Craig D. Lindsey,True,,100,0.74,1.0,0.59,veteran
Craig Mathieson,False,Sydney Morning Herald,100,0.8,,0.78,veteran
Cris Kennedy,True,,100,0.7474,0.6923,0.94,veteran
Cris Parker,True,,91,0.8242,0.8667,0.7802,established
Cristina Escobar,True,,42,0.7805,,0.9762,established
Crystal Bell,False,MTV,5,1.0,,1.0,newcomer
Custodio Guerrero,False,Sensacine,11,0.8182,0.6667,1.0,newcomer
Cynthia Vinney,False,CBR,83,0.5783,0.6667,0.6024,established
D. Patrick Rodgers,False,Nashville Scene,32,0.9375,1.0,0.8438,established
Dais Johnston,False,Inverse,29,0.6897,,0.6552,newcomer
Dale Kearney,False,Film Ireland Magazine,6,0.8333,,0.8333,newcomer
Damien Straker,True,,100,0.7475,0.9167,0.69,veteran
Dan Barnes,False,Flickering Myth,40,0.875,,0.75,established
Dan Casey,False,Nerdist,35,0.8182,,1.0,established
Dan Einav,False,Little White Lies,46,0.9024,,0.9565,established
Dan Friedman,False,The Forward,5,1.0,1.0,1.0,newcomer
Dan Rubins,False,Slant Magazine,33,0.7273,0.6667,0.6061,established
Dan Tabor,True,,100,0.8621,0.8824,0.92,veteran
Dana Kennedy,False,AARP Movies for Grownups,13,0.7692,,1.0,newcomer
Dana Stevens,True,,100,0.84,0.7714,0.72,veteran
Danae Stahlnecker,False,Common Sense Media,8,1.0,,0.875,newcomer
Danette Chavez,True,,23,0.9565,,0.7391,newcomer
Daniel Allen,False,In Review Online,100,0.9348,,0.91,veteran
Daniel Baptista,False,The Movie Podcast,36,0.8611,0.9375,0.9167,established
Daniel Barnes,True,,100,0.9192,0.75,0.63,veteran
Daniel Bayer,False,AwardsWatch,22,0.6818,,0.9545,newcomer
Daniel Chin,False,The Ringer,12,1.0,,0.75,newcomer
Daniel D'Addario,False,Variety,42,0.6,,0.5714,established
Daniel Eagan,True,,100,0.8242,1.0,0.81,veteran
Daniel Hart,True,,100,0.6875,1.0,0.72,veteran
Daniel Kurland,True,,60,0.8704,,0.8667,established
Daniel Pemberton,False,Spectrum Culture,24,0.875,,0.7917,newcomer
Daniel Rester,False,Film Threat,100,0.7938,0.88,0.74,veteran
Daniella Mazzio,False,Chicago Reader,6,0.8333,,0.8333,newcomer
Danielle Ryan,True,,10,0.8,,0.8,newcomer
Danielle Solzman,True,,100,0.7283,0.7143,0.85,veteran
Dann Gire,True,,100,0.69,0.6875,0.66,veteran
Danny Brogan,False,Common Sense Media,100,0.7872,,0.78,veteran
Danny Minton,True,,100,0.82,0.9,0.84,veteran
DarkSkyLady,True,,100,0.8191,0.7826,0.83,veteran
Darryl Griffiths,True,,36,1.0,,0.9722,established
Dave Canfield,False,ScreenAnarchy,12,0.9167,,1.0,newcomer
Dave Giannini,False,InSession Film,100,0.9213,1.0,0.82,veteran
Dave Golder,False,Radio Times,100,0.6735,,0.69,veteran
Dave Lee,True,,100,0.67,0.7778,0.95,veteran
David Armstrong,False,San Francisco Examiner,31,0.8065,,0.871,established
David Bianculli,True,,56,0.7963,,0.8214,established
David Browne,False,Rolling Stone,10,0.9,,0.8,newcomer
David Chen,True,,34,0.8529,0.85,0.7059,established
David Cuevas,False,In Review Online,39,0.7353,,0.6923,established
David Elliott,True,,100,0.6837,,0.57,veteran
David Gelmini,False,Dread Central,30,0.76,,1.0,established
David Hogan,True,,100,0.8586,1.0,0.73,veteran
David Hughes,False,Empire Magazine,100,0.8081,,0.83,veteran
David Jenkins,False,Time Out,100,0.7849,0.8235,0.72,veteran
David Kaplan,True,,100,0.8,0.7931,0.9,veteran
David Katz,False,Sight & Sound,77,0.8108,,0.8182,established
David Klion,False,The New Republic,13,0.7692,0.8,0.7692,newcomer
David Nusair,True,,100,0.596,0.6667,0.65,veteran
David Opie,True,,57,0.8545,1.0,0.8596,established
David Poland,True,,100,0.8,0.8293,0.84,veteran
David Reddish,True,,100,0.87,1.0,0.89,veteran
David Robb,False,Slant Magazine,50,0.5745,,0.46,established
David Sexton,False,London Evening Standard,100,0.78,0.7391,0.72,veteran
David Sims,True,,100,0.87,0.8378,0.83,veteran
David Tejero Nogales,False,El antepenúltimo mohicano,22,0.8095,,1.0,newcomer
David Tusing,False,The National (UAE),10,0.8,,0.6,newcomer
David Walsh,True,,100,0.5217,0.2857,0.47,veteran
David-Elijah Nahmod,False,Bay Area Reporter,70,0.9508,,0.9714,established
Debashine Thangevelo,False,Independent Online (South Africa),43,0.6905,,0.5581,established
Debi Enker,False,The Age (Australia),7,1.0,,1.0,newcomer
Deborah Ross,True,,100,0.73,0.6538,0.68,veteran
Deepa Gahlot,False,Scroll.in,29,0.7917,,0.4828,newcomer
Del Winters,False,MovieJawn,8,0.7143,,0.75,newcomer
Denise Zubizarreta,True,,17,0.8,,0.8235,newcomer
Dennis Harvey,True,,100,0.7849,0.6,0.8,veteran
Dennis King,False,Tulsa World,100,0.95,,0.86,veteran
Dennis Perkins,False,AV Club,24,0.8421,,0.8333,newcomer
Dennis Schwartz,True,,100,0.7742,1.0,0.58,veteran
Derek Chen,False,,17,0.7333,,0.4118,newcomer
Derrick Murray,True,,100,0.8586,0.8333,0.75,veteran
Dessi Gomez,False,Deadline Hollywood Daily,6,0.8333,1.0,1.0,newcomer
Devan Suber,False,IGN Movies,14,0.9231,,0.8571,newcomer
Devesh Sharma,False,Filmfare,100,0.6571,0.8667,0.86,veteran
Dex Wesley Parra,False,Austin Chronicle,16,0.6875,,0.8125,newcomer
Dhruv Goyal,False,In Review Online,35,0.75,,0.5714,established
Diedre Johnson,True,,6,0.5,,1.0,newcomer
Diego Batlle,False,Otroscines.com,100,0.9014,0.9091,0.83,veteran
Diego Semerene,False,Slant Magazine,100,0.6667,,0.64,veteran
Dillon Gonzales,False,InSession Film,28,0.8519,,1.0,newcomer
Dina Kaur,False,Arizona Republic,19,0.8421,,0.8947,newcomer
Dirk Libbey,False,CinemaBlend,69,0.8116,,0.6957,established
DJ BenHaMeen,False,For All Nerds Podcast,12,0.6667,0.6364,0.8333,newcomer
Dolores Quintana,True,,100,0.8021,1.0,0.94,veteran
Dom Fisher,False,Geek Vibes Nation,40,0.8718,0.8571,0.925,established
Dominic Baez,False,Seattle Times,19,0.6842,0.75,0.7895,newcomer
Dominic Patten,True,,15,0.8,,0.6667,newcomer
Don Aucoin,False,Boston Globe,12,0.9091,,0.75,newcomer
Don Kaye,False,Den of Geek,100,0.75,0.6667,0.59,veteran
Don R. Lewis,True,,100,0.8021,,0.85,veteran
Donald Liebenson,False,Chicago Tribune,15,1.0,,0.8,newcomer
