critic_name,top_critic,publisher_name,total_reviews,agreement_rate,big_movie_agreement_rate,fresh_rate,tier
Adam Bub,False,MovieFIX,26,0.6923076923076923,,0.8076923076923077,Average
Adam Chitwood,False,Collider,84,0.8333,,0.8571,established
Adam Epstein,False,Quartz,20,0.95,,0.95,Bellwether
Adam Fendelman,False,HollywoodChicago.com,301,0.7674418604651163,,0.6146179401993356,Reliable
Adam Fresco,False,Flicks.co.nz,79,0.7974683544303798,,0.7088607594936709,Reliable
Adam Graham,True,Detroit News,1095,0.7360730593607306,,0.5013698630136987,Average
Adam Keleman,False,Slant Magazine,32,0.75,,0.375,Average
Adam Kempenaar,False,Filmspotting,68,0.8382352941176471,,0.7941176470588235,Reliable
Adam Lee Davies,True,Little White Lies,74,0.6351351351351351,,0.36486486486486486,Mild Contrarian
Adam Lippe,False,Examiner.com,145,0.6620689655172414,,0.43448275862068964,Average
Adam Lowes,False,HeyUGuys,42,0.7857142857142857,,0.8571428571428571,Reliable
Adam Lubitow,False,Rochester City Newspaper,72,0.7916666666666666,,0.75,Reliable
Adam Markovitz,True,Entertainment Weekly,82,0.8536585365853658,,0.24390243902439024,Bellwether
Adam Mars-Jones,True,Independent (UK),42,0.5,,0.40476190476190477,Contrarian
Adam Matthews,False,Film Ireland Magazine,8,0.8333,,0.875,newcomer
Adam Mock,False,Film Inquiry,23,0.6956521739130435,,0.4782608695652174,Average
Adam Nayman,False,Cinema Scope,42,0.42857142857142855,,0.3333333333333333,Contrarian
Adam Olinger,True,,100,0.71,0.8049,0.53,veteran
Adam Patterson,False,Film Pulse,153,0.8104575163398693,,0.6928104575163399,Reliable
Adam Ross,False,The Aristocrat,150,0.7866666666666666,,0.7866666666666666,Reliable
Adam Schoales,False,That Shelf,14,0.7143,0.6667,0.7143,newcomer
Adam Smith,False,Radio Times,68,0.7794117647058824,,0.7647058823529411,Reliable
Adam Solomons,False,IndieWire,100,0.85,,0.84,veteran
Adam Sweeting,False,The Arts Desk,100,0.7879,0.875,0.85,veteran
Adam Tobias,False,Watertown Daily Times,215,0.7488372093023256,,0.7162790697674418,Average
Adam Woodward,False,Little White Lies,100,0.79,,0.63,veteran
Adi Robertson,False,The Verge,29,0.6896551724137931,,0.896551724137931,Average
Adolfo C. Martinez,False,La Nación (Argentina),22,0.7727272727272727,,0.8181818181818182,Reliable
Adrian Hennigan,True,BBC.com,21,0.7142857142857143,,0.9047619047619048,Average
Adrian Mack,False,Georgia Straight,86,0.8488372093023255,,0.7325581395348837,Reliable
Adrian MacKinder,False,Future Movies UK,20,0.9,,0.85,Bellwether
Adrian Ruiz,False,But Why Tho?,28,0.5714,,0.7857,newcomer
Adrian Turner,False,Radio Times,104,0.8653846153846154,,0.8269230769230769,Bellwether
Adriana Gomez-Weston,False,The Cinema Soloist,28,0.9285714285714286,,0.9642857142857143,Bellwether
Adrián Ruiz,False,Excelsior,150,0.78,,0.6866666666666666,Reliable
Age Staff,True,The Age (Australia),21,0.8095238095238095,,0.8571428571428571,Reliable
Aglaia Berlutti,True,,100,0.9,0.9762,0.82,veteran
Agustín Pérez,True,,50,0.8,0.8056,0.76,established
Aidan Kelley,False,Collider,58,0.8182,1.0,0.7414,established
Aine O'Connor,False,Sunday Independent (Ireland),306,0.8300653594771242,,0.8104575163398693,Reliable
Aisha Harris,True,,100,0.84,0.8261,0.82,veteran
AJ Caulfield,False,The Young Folks,21,0.9047619047619048,,0.6190476190476191,Bellwether
Aja Romano,False,Vox,37,0.8108108108108109,,0.6486486486486487,Reliable
Akhil Arora,False,Gadgets360,88,0.7954545454545454,,0.48863636363636365,Reliable
Al Alexander,False,The Patriot Ledger,776,0.8260309278350515,,0.7358247422680413,Reliable
Al Hoff,False,Pittsburgh City Paper,195,0.8153846153846154,,0.6974358974358974,Reliable
Al Horner,False,Empire Magazine,17,0.7647,,0.8235,newcomer
Alachia Queen,False,Alachia Queen,48,0.625,,0.625,Mild Contrarian
Alaka Sahani,False,The Indian Express,12,0.9,,0.4167,newcomer
Alan Cerny,False,VitalThrills.com,20,0.8,,0.8,Reliable
Alan Corr,False,RTÉ (Ireland),112,0.7678571428571429,,0.7857142857142857,Reliable
Alan Dale,False,Blogcritics.org,110,0.5727272727272728,,0.5454545454545454,Mild Contrarian
Alan French,False,We Bought a Blog,134,0.9328358208955224,,0.835820895522388,Bellwether
Alan Jones,False,Radio Times,100,0.76,0.6667,0.91,veteran
Alan Morrison,False,Empire Magazine,81,0.8271604938271605,,0.8148148148148148,Reliable
Alan Mount,False,Starburst,24,0.7778,,0.9167,newcomer
Alan Ng,False,Film Threat,210,0.7619047619047619,,0.9142857142857143,Reliable
Alan Pergament,True,,9,0.6667,,0.7778,newcomer
Alan Scherstuhl,False,Denver Westword,24,0.75,,0.8333333333333334,Average
Alan Sepinwall,True,,38,0.8056,,0.7632,established
Alan Zilberman,True,,100,0.7419,0.8889,0.67,veteran
Alberto Abuín,False,Espinof,309,0.7313915857605178,,0.6601941747572816,Average
Alberto Bermejo,False,El Mundo (Spain),52,0.8076923076923077,,0.6538461538461539,Reliable
Alberto Carlos,False,Espinof,10,0.8889,,0.7,newcomer
Alberto Corona,False,Sensacine,77,0.6233766233766234,,0.8571428571428571,Mild Contrarian
Alberto Luchini,False,El Mundo (Spain),85,0.7294117647058823,,0.5176470588235295,Average
Alberto Sáez Villarino,False,El antepenúltimo mohicano,95,0.8631578947368421,,0.9052631578947369,Bellwether
Alci Rengifo,True,,100,0.86,0.9565,0.87,veteran
Alec Bojalad,False,Den of Geek,17,0.8824,,0.5294,newcomer
Alejandra Martinez,False,Austin Chronicle,96,0.8681,1.0,0.8854,established
Alejandro Alemán,False,El Universal,132,0.7878787878787878,,0.6666666666666666,Reliable
Alejandro G. Calvo,False,Sensacine,43,0.8837209302325582,,0.9069767441860465,Bellwether
Alejandro Lingenti,False,La Nación (Argentina),100,0.8493,,0.84,veteran
Alejandro Turdo,False,EscribiendoCine,27,0.6666666666666666,,0.7037037037037037,Average
Alex Abad-Santos,False,Vox,56,0.9107142857142857,,0.6607142857142857,Bellwether
Alex Arabian,False,Film Inquiry,75,0.8133333333333334,,0.84,Reliable
Alex Casey,False,New Zealand Herald,48,0.7916666666666666,,0.6666666666666666,Reliable
Alex Davidson,False,Sight & Sound,6,1.0,,1.0,newcomer
Alex Doenau,False,Trespass,284,0.7183098591549296,,0.6830985915492958,Average
Alex Falcone,False,Willamette Week,31,0.7741935483870968,,0.5483870967741935,Reliable
Alex Harrison,True,,100,0.75,0.75,0.73,veteran
Alex Heeney,False,Seventh Row,186,0.7795698924731183,,0.7688172043010753,Reliable
Alex Hudson,True,,100,0.7447,0.8,0.76,veteran
Alex Keen,False,Trades,57,0.7017543859649122,,0.631578947368421,Average
Alex Leadbeater,False,What Culture,113,0.8584070796460177,,0.7433628318584071,Bellwether
Alex Lei,False,AV Club,15,0.9231,,0.8667,newcomer
Alex Lines,False,Film Inquiry,84,0.7261904761904762,,0.5714285714285714,Average
Alex Maidy,False,JoBlo's Movie Network,36,0.25,,0.6388888888888888,Contrarian
Alex Markerson,False,E! Online,126,0.7777777777777778,,0.42063492063492064,Reliable
Alex McLevy,True,AV Club,25,0.56,,0.92,Mild Contrarian
Alex Nguyen,False,The Young Folks,42,0.7381,,0.6667,established
Alex Papaioannou,False,InSession Film,100,0.8958,1.0,0.9,veteran
Alex Ramirez,False,Cinenganos,230,0.6478260869565218,,0.9130434782608695,Mild Contrarian
Alex Sandell,False,Juicy Cerebellum,984,0.681910569105691,,0.5172764227642277,Average
Alex Saveliev,False,Film Threat,100,0.7935,1.0,0.87,veteran
Alex Southey,False,That Shelf,17,0.7143,,0.7647,newcomer
Alex Valencia,True,,31,0.9565,,0.9355,established
Alex Welch,False,IGN Movies,77,0.8571428571428571,,0.6493506493506493,Bellwether
Alex Zane,False,The Sun (UK),615,0.7219512195121951,,0.7382113821138211,Average
Alexa Dalby,True,,100,0.9157,,0.96,veteran
Alexa Margorian,False,Exclaim!,10,0.75,,0.7,newcomer
Alexander Lowe,False,We Got This Covered,23,0.8260869565217391,,0.7391304347826086,Reliable
Alexander Mooney,False,Slant Magazine,36,0.5833,0.7143,0.4722,established
Alexander Ryll,False,Gay Essential,55,0.8545454545454545,,0.9818181818181818,Bellwether
Alexander Walker,False,Daily Mail (UK),100,0.71,,0.67,veteran
Alexandra August,False,CBR,20,0.6,,0.8,Mild Contrarian
Alexandra Cavallo,False,Boston Phoenix,26,0.6538461538461539,,0.5384615384615384,Average
Alexandra Heller-Nicholas,False,The Blue Lenses,60,0.9166666666666666,,1.0,Bellwether
Alexandra MacAaron,False,Women's Voices for Change,167,0.8862275449101796,,0.8802395209580839,Bellwether
Ali Barclay,True,BBC.com,25,0.76,,0.8,Reliable
Ali Benzekri,False,AwardsWatch,17,0.8235,,0.8824,newcomer
Ali Catterall,False,Film4,51,0.8627450980392157,,0.43137254901960786,Bellwether
Ali Gray,False,TheShiznit.co.uk,408,0.803921568627451,,0.7475490196078431,Reliable
Ali López,True,,40,0.7436,,0.675,established
Ali Shutler,False,NME (New Musical Express),6,0.8,,1.0,newcomer
Alice Saville,False,Time Out,6,0.8333,,0.8333,newcomer
Alice Shih,False,Original Cin,5,1.0,,1.0,newcomer
Alice Tynan,False,Concrete Playground,77,0.7922077922077922,,0.8831168831168831,Reliable
Alicia Gilstorf,True,,64,0.7302,,0.8281,established
Alicia P. Ferreirós,False,Sensacine,25,0.68,0.7143,0.96,newcomer
Alicia Potter,False,Boston Phoenix,49,0.673469387755102,,0.2857142857142857,Average
Alireza Hatamvand,False,FILMINK (Australia),14,0.7,,0.7143,newcomer
Alisha Mughal,True,,57,0.8889,0.6667,0.7895,established
Alison Foreman,False,Mashable,28,0.6785714285714286,,0.6785714285714286,Average
Alison Gang,False,San Diego Union-Tribune,173,0.791907514450867,,0.653179190751445,Reliable
Alison Gillmor,False,Winnipeg Free Press,188,0.898936170212766,,0.7340425531914894,Bellwether
Alison Herman,True,,48,0.8936,,0.8542,established
Alison Lanier,False,Pajiba,34,0.9032,,0.8529,established
Alison Macor,False,Austin Chronicle,70,0.6857142857142857,,0.6714285714285714,Average
Alison Rowat,False,The Herald (Scotland),375,0.8026666666666666,,0.7466666666666667,Reliable
Alison Willmore,True,,100,0.75,0.6667,0.59,veteran
Alissa Simon,True,,100,0.8873,,0.85,veteran
Alissa Wilkinson,False,Vox,332,0.8253012048192772,,0.7168674698795181,Reliable
Alistair Harkness,False,Film4,100,0.7959,0.7667,0.71,veteran
Alistair Lawrence,False,Common Sense Media,100,0.7216,,0.55,veteran
Alistair Ryder,True,,100,0.7097,0.8077,0.62,veteran
Allan Hunter,True,,100,0.8824,,0.96,veteran
Allen Adams,False,The Maine Edge,515,0.8563106796116505,,0.658252427184466,Bellwether
Allen Almachar,True,,100,0.78,0.7742,0.68,veteran
Allen Salkin,True,New York Daily News,31,0.5806451612903226,,0.6774193548387096,Mild Contrarian
Allie Gregory,False,Exclaim!,5,0.6,,0.6,newcomer
Allie Lembo,False,MovieJawn,6,0.8333,,0.8333,newcomer
Allison Benedikt,True,Chicago Tribune,152,0.7302631578947368,,0.40131578947368424,Average
Allison Loring,False,Film School Rejects,35,0.8,,0.9428571428571428,Reliable
Allison Nichols,True,,11,0.3636,,0.6364,newcomer
Allison Rose,True,,100,0.73,0.7576,0.91,veteran
Allison Shoemaker,False,Consequence of Sound,62,0.8870967741935484,,0.6129032258064516,Bellwether
Allyson Johnson,True,,100,0.8763,0.4,0.79,veteran
Almar Haflidason,True,BBC.com,190,0.8421052631578947,,0.8526315789473684,Reliable
Alonso Duralde,False,MSNBC,350,0.7371428571428571,,0.38285714285714284,Average
Alonso Díaz de la Vega,False,El Universal,99,0.797979797979798,,0.7575757575757576,Reliable
Alton Williams,False,Battle Royale With Cheese,39,0.8235,,0.8205,established
Aly Caviness,False,Midwest Film Journal,50,0.82,,0.76,Reliable
Alynda Wheat,False,People Magazine,63,0.8253968253968254,,0.8095238095238095,Reliable
Alyshia Kelly,False,The Young Folks,22,0.7727,1.0,0.6364,newcomer
Amanda Adame,False,Cine Premiere,50,0.72,,0.48,Average
Amanda Greever,False,The Daily Times (Tennessee),265,0.7811320754716982,,0.6981132075471698,Reliable
Amanda Jane Robinson,False,Flicks.co.nz,23,0.8260869565217391,,0.782608695652174,Reliable
Amanda Keats,False,HeyUGuys,20,0.7,,0.9,Average
Amanda Luberto,False,Arizona Republic,18,0.9444,0.8,0.9444,newcomer
Amanda Mae Meyncke,True,Film.com,31,0.9032258064516129,,0.8064516129032258,Bellwether
Amanda Mazzillo,False,Film Inquiry,47,0.8085106382978723,,0.7659574468085106,Reliable
Amanda Sink,True,,77,0.84,,0.8701,established
Amanda Waltz,False,The Film Stage,32,0.78125,,0.4375,Reliable
Amber Dowling,False,TV Guide,12,0.8,,1.0,newcomer
Amber Wilkinson,True,,100,0.9178,1.0,0.96,veteran
Amelia Berry,False,"Flicks (AU, NZ, UK)",16,0.9375,,0.8125,newcomer
Amelia Harvey,True,,100,0.86,0.84,0.86,veteran
Amelia Navascues,False,Triple J,46,0.8695652173913043,,0.6956521739130435,Bellwether
Amelie Lasker,False,FF2 Media,22,0.7272727272727273,,0.9545454545454546,Average
Amie Simon,False,Three Imaginary Girls,212,0.8066037735849056,,0.7547169811320755,Reliable
Amir Soltani,False,Movie Mezzanine,24,0.8333333333333334,,0.6666666666666666,Reliable
Amon Warmann,False,Empire Magazine,100,0.78,,0.71,veteran
Amparo Cabal,False,EscribiendoCine,46,0.9459,,0.913,established
Amy Amatangelo,True,,55,0.7636,,0.6545,established
Amy Biancolli,True,Houston Chronicle,627,0.7113237639553429,,0.6363636363636364,Average
Amy Curtis,False,We Got This Covered,79,0.6075949367088608,,0.5569620253164557,Mild Contrarian
Amy Nicholson,True,Variety,60,0.5833333333333334,,0.65,Mild Contrarian
Amy Taubin,True,Village Voice,81,0.6790123456790124,,0.4691358024691358,Average
Amy Thomasson,False,InSession Film,19,0.8421,,0.8421,newcomer
Amy West,True,,100,0.85,,0.81,veteran
Ana Yorke,True,,47,0.9362,1.0,0.9362,established
Anaid Ramírez,False,Time Out México,43,0.7906976744186046,,0.6976744186046512,Reliable
Anandu Suresh,False,The Indian Express,26,0.6923,,0.3077,newcomer
Anders Wotzke,False,Moviedex,276,0.7536231884057971,,0.5652173913043478,Reliable
Anders Wright,False,San Diego Union-Tribune,390,0.8358974358974359,,0.6153846153846154,Reliable
Andi Zeisler,False,Bitch Media,12,0.6667,,1.0,newcomer
Andiee Paviour,True,,100,0.9684,0.9444,1.0,veteran
Andre Meadows,True,,100,0.79,0.6667,0.89,veteran
Andrea Beach,False,Common Sense Media,100,0.7143,,0.75,veteran
Andrea Chase,True,,100,0.8469,0.8108,0.82,veteran
Andrea G. Bermejo,False,Cinemanía (Spain),100,0.9231,1.0,0.99,veteran
Andrea Gronvall,True,Chicago Reader,481,0.7484407484407485,,0.6091476091476091,Average
Andrea Schmidt,False,MovieJawn,8,0.7143,,0.875,newcomer
Andrea Thompson,True,,100,0.7604,0.7,0.73,veteran
Andrea Zamora,False,Sensacine,100,0.8256,0.9167,0.92,veteran
Andreas Heinemann,False,Flicks.co.nz,38,0.7894736842105263,,0.7368421052631579,Reliable
Andreas Samuelson,False,Slasherpool,30,0.7,,0.5,Average
Andres Cabrera,False,Geeks of Color,17,1.0,1.0,1.0,newcomer
Andrew Barker,True,Variety,288,0.8576388888888888,,0.4236111111111111,Bellwether
Andrew Chan,False,Film Comment Magazine,23,0.6522,,0.6087,newcomer
Andrew Collins,False,Empire Magazine,31,0.7741935483870968,,0.8709677419354839,Reliable
Andrew Dex,False,Starburst,21,0.8095,1.0,0.9048,newcomer
Andrew Dignan,False,Slant Magazine,100,0.5051,0.625,0.3,veteran
Andrew F. Peirce,False,The Curb,42,0.6904761904761905,,0.5952380952380952,Average
Andrew Fukui,False,Geek Vibes Nation,20,0.6316,,0.95,newcomer
Andrew Galdi,False,Movie Bitches,262,0.6221374045801527,,0.46946564885496184,Mild Contrarian
Andrew Gaudion,False,VultureHound,41,0.7804878048780488,,0.6829268292682927,Reliable
Andrew Gruttadaro,False,The Ringer,8,0.75,,0.875,newcomer
Andrew Hedley,False,Flicks.co.nz,58,0.8793103448275862,,0.896551724137931,Bellwether
Andrew Heskins,False,easternKicks.com,34,0.7941176470588235,,0.8529411764705882,Reliable
Andrew Howe,False,eFilmCritic.com,107,0.7102803738317757,,0.6728971962616822,Average
Andrew Jankowski,False,Willamette Week,9,0.4286,,0.5556,newcomer
Andrew Kasch,False,Dread Central,53,0.660377358490566,,0.7547169811320755,Average
Andrew Kendall,False,Stabroek News,159,0.7610062893081762,,0.6729559748427673,Reliable
Andrew L. Urban,False,Urban Cinefile,1318,0.7025796661608498,,0.7936267071320182,Average
Andrew Lapin,False,The Dissolve,53,0.6981132075471698,,0.5283018867924528,Average
Andrew Lawrence,False,Guardian,20,0.75,,0.65,newcomer
Andrew Lowry,False,Total Film,38,0.7631578947368421,,0.7631578947368421,Reliable
Andrew Mack,False,ScreenAnarchy,76,0.875,,0.9474,established
Andrew Male,False,Empire Magazine,21,0.6666666666666666,,0.9047619047619048,Average
Andrew Manning,False,Radio Free Entertainment,211,0.5687203791469194,,0.5355450236966824,Mild Contrarian
Andrew Marshall,False,Starburst,50,0.8,,0.7,Reliable
Andrew Marzoni,False,The New Republic,7,0.7143,,0.7143,newcomer
Andrew O'Hagan,True,London Evening Standard,63,0.6984126984126984,,0.7619047619047619,Average
Andrew O'Hehir,True,Salon.com,1379,0.7657722987672226,,0.7693981145757796,Reliable
Andrew Osborne,False,culturevulture.net,32,0.8966,,0.9062,established
Andrew Osmond,False,Empire Magazine,56,0.7321,,0.7143,established
Andrew Parker,True,,100,0.7727,0.8,0.73,veteran
Andrew Pollard,False,Starburst,143,0.7902097902097902,,0.8391608391608392,Reliable
Andrew Pulver,True,Guardian,240,0.7625,,0.625,Reliable
Andrew Reichel,False,In Review Online,12,0.6364,,0.5833,newcomer
Andrew Sarris,True,Observer,809,0.7033374536464772,,0.723114956736712,Average
Andrew Schenker,False,Slant Magazine,346,0.6069364161849711,,0.28901734104046245,Mild Contrarian
Andrew Simpson,False,Fan The Fire,36,0.75,,0.5555555555555556,Average
Andrew Todd,False,Birth.Movies.Death.,87,0.8390804597701149,,0.7471264367816092,Reliable
Andrew Webster,False,The Verge,71,0.8,1.0,0.7887,established
Andrew Whalen,True,Newsweek,29,0.6551724137931034,,0.7241379310344828,Average
Andrew Wright,False,"The Stranger (Seattle, WA)",313,0.7667731629392971,,0.6389776357827476,Reliable
Andrew Wyatt,False,The Lens,212,0.7122641509433962,,0.5424528301886793,Average
André Hereford,True,,100,0.8261,0.8148,0.74,veteran
Andrés Salas,False,Cinemanía (Spain),16,0.7692,,0.875,newcomer
Andy Crump,False,Movie Mezzanine,68,0.8235294117647058,,0.6323529411764706,Reliable
Andy Dehnart,True,,14,0.6667,,0.7143,newcomer
Andy Howell,False,Film Threat,85,0.8378,,0.9412,established
Andy Klein,False,Brand X,110,0.7454545454545455,,0.7727272727272727,Average
Andy Lea,False,Daily Star (UK),488,0.7008196721311475,,0.75,Average
Andy Psyllides,False,Sky Cinema,60,0.8666666666666667,,0.6166666666666667,Bellwether
Andy Punter,False,InSession Film,11,1.0,,0.8182,newcomer
Andy Seiler,True,USA Today,50,0.74,,0.4,Average
Andy Spletzer,False,Seattle Post-Intelligencer,28,0.6428571428571429,,0.4642857142857143,Mild Contrarian
Andy Webster,True,New York Times,290,0.7517241379310344,,0.5793103448275863,Reliable
Andy Weil,False,ComingSoon.net,38,0.7631578947368421,,0.5263157894736842,Reliable
Angel Cohn,False,TV Guide,172,0.7151162790697675,,0.43023255813953487,Average
Angela Baldassarre,False,Sympatico.ca,500,0.812,,0.542,Reliable
Angela L. Harmon,False,The NitPic,21,0.6666666666666666,,0.5238095238095238,Average
Angelica Jade Bastién,True,New York Magazine/Vulture,21,0.5714285714285714,,0.38095238095238093,Mild Contrarian
Angelo Muredda,False,Film Freak Central,100,0.7396,0.5455,0.71,veteran
Angie Errigo,False,Metro (UK),30,0.7,,0.7333333333333333,Average
Angie Han,False,Slashfilm,36,0.75,,0.8333333333333334,Average
Ani Bundel,False,NBC News THINK,65,0.7692307692307693,,0.6461538461538462,Reliable
Anil Sinanan,True,Time Out,45,0.7333333333333333,,0.7111111111111111,Average
Anita Gates,True,New York Times,90,0.7333333333333333,,0.45555555555555555,Average
Anita Katz,False,San Francisco Examiner,262,0.8969465648854962,,0.8015267175572519,Bellwether
Anita Schmaltz,False,"Metro Times (Detroit, MI)",86,0.8023255813953488,,0.6627906976744186,Reliable
Anita Singh,False,Daily Telegraph (UK),67,0.8723,,0.8657,established
Ankit Ojha,True,,100,0.798,,0.79,veteran
Ann Hornaday,False,Baltimore Sun,43,0.7906976744186046,,0.6744186046511628,Reliable
Ann Lewinson,False,Boston Phoenix,37,0.5675675675675675,,0.40540540540540543,Mild Contrarian
Ann Marie Hourihane,False,Irish Independent,11,0.625,,0.5455,newcomer
Ann Ross,False,Maclean's Magazine,89,0.9550561797752809,,0.9438202247191011,Bellwether
Anna King,True,Time Out,38,0.6842105263157895,,0.4473684210526316,Average
Anna Menta,True,,80,0.7875,,0.85,established
Anna Miller,True,,61,0.9508,1.0,0.8689,established
Anna Smith,True,Time Out,159,0.7295597484276729,,0.5220125786163522,Average
Anna Stafford,False,Globe and Mail,5,1.0,,1.0,newcomer
Anna Storm,False,Film Journal International,63,0.6825396825396826,,0.6349206349206349,Average
Anna Tatarska,False,Movie Mezzanine,39,0.8461538461538461,,0.8717948717948718,Reliable
Annalee Newitz,False,io9.com,137,0.6861313868613139,,0.656934306569343,Average
Anne Brodie,True,,100,0.8916,1.0,0.9,veteran
Anne Cohen,False,Refinery29,164,0.75,,0.8353658536585366,Average
Anne Gilbert,False,Filmcritic.com,39,0.7692307692307693,,0.46153846153846156,Reliable
Anne T. Donahue,False,Globe and Mail,47,0.913,,0.7447,established
Anne Thompson,False,Thompson on Hollywood,58,0.8103448275862069,,0.8103448275862069,Reliable
Annette Basile,False,FILMINK (Australia),100,0.7033,,0.86,veteran
Annette Cardwell,False,Filmcritic.com,50,0.88,,0.56,Bellwether
Annette Dasey,False,Teletext,27,0.7037037037037037,,0.48148148148148145,Average
Anni Glissman,False,Mediaversity Reviews,5,0.8,,0.2,newcomer
Annie Banks,False,Glue Magazine,27,0.7407407407407407,,0.6296296296296297,Average
Annie Berke,False,AV Club,7,0.5714,0.3333,0.7143,newcomer
Annie Wagner,False,"The Stranger (Seattle, WA)",58,0.6896551724137931,,0.6551724137931034,Average
Annlee Ellingson,True,Los Angeles Times,27,0.6666666666666666,,0.5555555555555556,Average
Anthony Breznican,False,Associated Press,11,0.8182,,0.6364,newcomer
Anthony Del Valle,False,Las Vegas Mercury,82,0.8048780487804879,,0.43902439024390244,Reliable
Anthony Gagliardi,False,The Movie Podcast,22,0.9091,0.8462,0.9545,newcomer
Anthony Kaufman,False,Screen International,80,0.775,,0.7375,Reliable
Anthony Lane,True,New Yorker,940,0.7191489361702128,,0.575531914893617,Average
Anthony Miele,False,Film Threat,26,0.8076923076923077,,0.46153846153846156,Reliable
Anthony Morris,False,sbs.com.au,43,0.7906976744186046,,0.8604651162790697,Reliable
Anthony O'Connor,False,FILMINK (Australia),100,0.87,0.8788,0.88,veteran
Anthony Quinn,True,Independent (UK),880,0.7375,,0.4068181818181818,Average
Anthony Ray Bench,False,Film Threat,63,0.7142857142857143,,0.6984126984126984,Average
Anthony Whyte,True,,48,0.8,0.875,0.8542,established
Anton Bitel,False,Grolsch Film Works,72,0.6805555555555556,,0.8611111111111112,Average
Antonia Quirke,True,Financial Times,185,0.6486486486486487,,0.42702702702702705,Mild Contrarian
Antonio Lara,False,El Pais (Spain),33,0.696969696969697,,0.3939393939393939,Average
Antonio Sison,False,National Catholic Reporter,20,1.0,,1.0,Bellwether
Antonio Trashorras,False,Fotogramas,100,0.8367,0.8571,0.95,veteran
Anuj Kumar,True,,100,0.7889,,0.47,veteran
Anupama Chopra,True,,100,0.7753,1.0,0.53,veteran
Anushka Halve,False,Film Companion,24,0.8696,0.6,0.8333,newcomer
Anwen Crawford,False,The Monthly (Australia),40,0.625,,0.625,Mild Contrarian
Anzhe Zhang,False,Slant Magazine,11,0.6364,,0.2727,newcomer
AP Kryza,False,Willamette Week,55,0.8909090909090909,,0.8545454545454545,Bellwether
Aparita Bhandari,False,Toronto Star,96,0.8617,1.0,0.7917,established
April Neale,False,AWFJ.org,10,0.875,,1.0,newcomer
April Wolfe,False,L.A. Weekly,80,0.7375,,0.7,Average
Aprillé Morris,True,,9,0.6667,0.6667,0.7778,newcomer
Aramide Tinubu,True,,100,0.8438,,0.88,veteran
Archi Sengupta,True,,100,0.7647,0.6667,0.48,veteran
Archika Khurana,False,The Times of India,100,0.6707,,0.79,veteran
Ard Vijn,True,,100,0.8052,,0.94,veteran
Argun Ulgen,False,PopMatters,21,0.9047619047619048,,0.9047619047619048,Bellwether
Ariel Scotti,True,New York Daily News,22,0.6818181818181818,,0.6818181818181818,Average
Arjun Menon,False,The Indian Express,6,0.6667,,0.6667,newcomer
