critic_name,top_critic,publisher_name,total_reviews,agreement_rate,fresh_rate,tier
Brent McKnight,True,Seattle Times,27,0.9629629629629629,0.8518518518518519,Bellwether
Brett Michel,False,Boston Herald,27,0.9629629629629629,0.2962962962962963,Bellwether
Ruben Peralta Rigaud,False,Cineasta,27,0.9629629629629629,0.8518518518518519,Bellwether
Charlotte Harrison,False,Charlotte Sometimes Goes to the Movies,27,0.9629629629629629,1.0,Bellwether
Nicola Austin,False,We Have a Hulk,26,0.9615384615384616,1.0,Bellwether
Javier Cortijo,False,Cinemanía (Spain),26,0.9615384615384616,0.4230769230769231,Bellwether
Alan French,False,AwardsCircuit.com,26,0.9615384615384616,1.0,Bellwether
Catherine Capellaro,False,"Isthmus (Madison, WI)",25,0.96,1.0,Bellwether
Lindsey Romain,False,Nerdist,25,0.96,0.84,Bellwether
Patrick Smith,True,Daily Telegraph (UK),25,0.96,0.68,Bellwether
Paul Ennis,False,NOW Toronto,25,0.96,0.88,Bellwether
Katherine McLaughlin,False,ViewLondon,25,0.96,0.88,Bellwether
Sarah Ward,False,Flicks.com.au,24,0.9583333333333334,0.7916666666666666,Bellwether
Alison Herman,False,The Ringer,24,0.9583333333333334,0.9166666666666666,Bellwether
Pamela Hutchinson,False,Silent London,24,0.9583333333333334,0.9583333333333334,Bellwether
Melanie McFarland,True,Salon.com,24,0.9583333333333334,0.8333333333333334,Bellwether
Rory L. Aronsky,False,Screen It!,24,0.9583333333333334,0.9583333333333334,Bellwether
Kyle Kizu,False,MovieMinis,24,0.9583333333333334,0.875,Bellwether
Paula Farmer,False,culturevulture.net,24,0.9583333333333334,0.9583333333333334,Bellwether
Ethan Alter,False,TV Guide,24,0.9583333333333334,0.5833333333333334,Bellwether
Bill Brownstein,False,Montreal Gazette,46,0.9565217391304348,0.8043478260869565,Bellwether
Hank Sartin,False,Time Out Chicago,23,0.9565217391304348,0.6086956521739131,Bellwether
Christopher Llewellyn Reed,False,Hammer to Nail,159,0.9559748427672956,1.0,Bellwether
Ann Ross,False,Maclean's Magazine,89,0.9550561797752809,0.9438202247191011,Bellwether
Jay Krieger,False,Cultured Vultures,22,0.9545454545454546,0.6818181818181818,Bellwether
Jenny McCartney,True,Daily Telegraph (UK),22,0.9545454545454546,0.8636363636363636,Bellwether
Jordan M. Smith,False,IONCINEMA.com,44,0.9545454545454546,0.9545454545454546,Bellwether
Gisela Savdie,False,El Heraldo,22,0.9545454545454546,0.9545454545454546,Bellwether
Tim Stevens,False,The Spool,22,0.9545454545454546,0.5454545454545454,Bellwether
Melissa Leon,False,The Daily Beast,22,0.9545454545454546,0.7272727272727273,Bellwether
Christopher Campbell,False,Thrillist,21,0.9523809523809523,0.9523809523809523,Bellwether
William Goss,True,MSN Movies,21,0.9523809523809523,0.8095238095238095,Bellwether
Craig Takeuchi,False,Georgia Straight,21,0.9523809523809523,0.7619047619047619,Bellwether
Shay Casey,False,Conceited Critic,21,0.9523809523809523,0.19047619047619047,Bellwether
Tatiana Craine,True,Village Voice,21,0.9523809523809523,0.42857142857142855,Bellwether
Rochelle Siemienowicz,False,Kill Your Darlings,21,0.9523809523809523,0.9047619047619048,Bellwether
Ross McIndoe,False,The Skinny,21,0.9523809523809523,0.8571428571428571,Bellwether
Amy Taubin,False,Artforum,62,0.9516129032258065,0.967741935483871,Bellwether
Mark Daniell,True,Toronto Sun,40,0.95,0.8,Bellwether
Adam Epstein,False,Quartz,20,0.95,0.95,Bellwether
Deirdre Crimmins,False,That Shelf,20,0.95,0.75,Bellwether
Louise Burrell,False,One Room With A View,20,0.95,1.0,Bellwether
Ted Prigge,False,Deconstructing Edward,20,0.95,1.0,Bellwether
Deirdre Crimmins,False,Rue Morgue Magazine,20,0.95,0.9,Bellwether
David Bezanson,False,Filmcritic.com,57,0.9473684210526315,0.7894736842105263,Bellwether
Frank Ochieng,False,ScreenAnarchy,51,0.9411764705882353,0.45098039215686275,Bellwether
Frank Ochieng,False,World Voice News,34,0.9411764705882353,0.38235294117647056,Bellwether
Roger Catlin,False,rogercatlin.com,34,0.9411764705882353,0.9411764705882353,Bellwether
Geoffrey O'Brien,False,The New York Review of Books,34,0.9411764705882353,0.9411764705882353,Bellwether
Dan Lybarger,False,MovieMaker Magazine,34,0.9411764705882353,0.6176470588235294,Bellwether
Tom Birchenough,False,The Arts Desk,50,0.94,0.96,Bellwether
Jessica Oliva,False,Cine Premiere,33,0.9393939393939394,0.8181818181818182,Bellwether
Steve Greene,True,indieWire,33,0.9393939393939394,0.6363636363636364,Bellwether
Molly Eichel,True,Philadelphia Inquirer,64,0.9375,0.65625,Bellwether
Ellen Murray,False,Film Ireland Magazine,32,0.9375,0.59375,Bellwether
Dana Schwartz,True,Entertainment Weekly,32,0.9375,0.65625,Bellwether
Miguel Muñoz Garnica,False,El antepenúltimo mohicano,32,0.9375,0.96875,Bellwether
Kahron Spearman,False,The Daily Dot,31,0.9354838709677419,0.7419354838709677,Bellwether
Nick Romano,False,CinemaBlend,30,0.9333333333333333,0.5333333333333333,Bellwether
Paul Dale,False,The List,30,0.9333333333333333,0.8,Bellwether
Brooke Holgerson,False,Boston Phoenix,30,0.9333333333333333,0.36666666666666664,Bellwether
Hannah Hoolihan,False,Hannah Hoolihan,45,0.9333333333333333,1.0,Bellwether
Alan French,False,We Bought a Blog,134,0.9328358208955224,0.835820895522388,Bellwether
David Parkinson,False,Empire Magazine,442,0.9321266968325792,0.9411764705882353,Bellwether
Christopher Schobert,False,Filmswoon,29,0.9310344827586207,0.7586206896551724,Bellwether
Calum Baker,False,One Room With A View,29,0.9310344827586207,0.8620689655172413,Bellwether
Daniel Eagan,False,Film Legacy,29,0.9310344827586207,0.8275862068965517,Bellwether
Patrick Byrne,False,Apollo Guide,29,0.9310344827586207,1.0,Bellwether
Mark Goodyear,False,Battle Royale With Cheese,29,0.9310344827586207,0.6551724137931034,Bellwether
Will Chadwick,False,We Got This Covered,43,0.9302325581395349,0.6511627906976745,Bellwether
Will Ashton,False,The Playlist,57,0.9298245614035088,0.40350877192982454,Bellwether
Michael Arbeiter,False,Hollywood.com,28,0.9285714285714286,0.8928571428571429,Bellwether
Drew Tinnin,False,Dread Central,28,0.9285714285714286,0.9285714285714286,Bellwether
William Gallagher,True,BBC.com,28,0.9285714285714286,0.7857142857142857,Bellwether
Frank Ochieng,False,The Critical Movie Critics,84,0.9285714285714286,0.47619047619047616,Bellwether
Adriana Gomez-Weston,False,The Cinema Soloist,28,0.9285714285714286,0.9642857142857143,Bellwether
Bernard Boo,False,PopMatters,41,0.926829268292683,0.8536585365853658,Bellwether
Frank Ochieng,False,TheWorldJournal.com,164,0.926829268292683,0.4573170731707317,Bellwether
Benjo Colautti,False,We Got This Covered,27,0.9259259259259259,0.48148148148148145,Bellwether
Isabel Stevens,False,ViewLondon,27,0.9259259259259259,0.8888888888888888,Bellwether
Samuel R. Murrian,False,Parade Magazine,54,0.9259259259259259,0.9074074074074074,Bellwether
Sean Axmaker,False,Stream on Demand,269,0.9256505576208178,0.9628252788104089,Bellwether
Cary Darling,True,Houston Chronicle,120,0.925,0.875,Bellwether
Jorge Ayala Blanco,False,El Universal,53,0.9245283018867925,0.9245283018867925,Bellwether
Nguyen Le,False,The Script Lab,66,0.9242424242424242,0.6212121212121212,Bellwether
Marianna Neal,False,Impression Blend,26,0.9230769230769231,0.9615384615384616,Bellwether
Tynan Yanaga,False,Film Inquiry,26,0.9230769230769231,0.8846153846153846,Bellwether
Katrina Onstad,False,National Post,52,0.9230769230769231,0.4807692307692308,Bellwether
Nick Evan-Cook,False,One Room With A View,39,0.9230769230769231,0.9230769230769231,Bellwether
Ben Robins,False,HeyUGuys,26,0.9230769230769231,0.8461538461538461,Bellwether
Douglas Pratt,True,Hollywood Reporter,39,0.9230769230769231,1.0,Bellwether
Carrie Rickey,False,Truthdig,52,0.9230769230769231,0.8846153846153846,Bellwether
Philip Kemp,False,Sight and Sound,39,0.9230769230769231,0.8974358974358975,Bellwether
Abby Olcese,False,Crooked Marquee,26,0.9230769230769231,0.7307692307692307,Bellwether
Chris Roberts,False,Uncut Magazine [UK],26,0.9230769230769231,0.8846153846153846,Bellwether
Kent Garrison,False,Mad About Movies Podcast,116,0.9224137931034483,0.6724137931034483,Bellwether
Carlos Bonfil,False,La Jornada,77,0.922077922077922,0.922077922077922,Bellwether
Jyoti Sharma Bawa,False,Hindustan Times,38,0.9210526315789473,0.6842105263157895,Bellwether
Frank S. Nugent,True,New York Times,38,0.9210526315789473,0.9210526315789473,Bellwether
Jordan Hoffman,False,Times of Israel,38,0.9210526315789473,0.7368421052631579,Bellwether
Amelia Harvey,False,Frame Rated,38,0.9210526315789473,0.7105263157894737,Bellwether
Jackson Cuidon,False,Christianity Today,25,0.92,0.48,Bellwether
Trevor Johnston,True,Little White Lies,25,0.92,0.96,Bellwether
Peter Travers,False,People Magazine,50,0.92,0.74,Bellwether
Ryan Oliver,False,The Playlist,25,0.92,0.6,Bellwether
Alistair Ryder,False,Gay Essential,37,0.918918918918919,0.972972972972973,Bellwether
Dave Kehr,True,New York Daily News,37,0.918918918918919,0.7027027027027027,Bellwether
Loren King,False,Newport This Week (RI),123,0.9186991869918699,0.8780487804878049,Bellwether
Jazz Tangcay,False,Awards Daily,49,0.9183673469387755,1.0,Bellwether
Debbie Holloway,False,Narrative Muse,49,0.9183673469387755,0.9795918367346939,Bellwether
Peg Aloi,False,Arts Fuse,97,0.9175257731958762,0.9278350515463918,Bellwether
Tony Sloman,False,Radio Times,97,0.9175257731958762,0.9381443298969072,Bellwether
Elena Lazic,False,Seventh Row,24,0.9166666666666666,0.8333333333333334,Bellwether
Andy Crump,False,The Playlist,24,0.9166666666666666,0.75,Bellwether
Brent Hankins,False,Spoiler TV,24,0.9166666666666666,0.8333333333333334,Bellwether
Arlin Golden,False,Film Inquiry,24,0.9166666666666666,0.9166666666666666,Bellwether
Kanin Srimaneekulroj,False,Bangkok Post,48,0.9166666666666666,0.5833333333333334,Bellwether
A.D. Murphy,True,Variety,24,0.9166666666666666,0.9166666666666666,Bellwether
John McMurtrie,True,San Francisco Chronicle,24,0.9166666666666666,0.4583333333333333,Bellwether
Alexandra Heller-Nicholas,False,The Blue Lenses,60,0.9166666666666666,1.0,Bellwether
Claire Bickley,False,Jam! Movies,24,0.9166666666666666,0.4583333333333333,Bellwether
Taylor Antrim,False,Vogue,36,0.9166666666666666,0.9166666666666666,Bellwether
Kathryn Reklis,False,The Christian Century,47,0.9148936170212766,0.851063829787234,Bellwether
Rick Levin,False,Eugene Weekly (OR),35,0.9142857142857143,0.9142857142857143,Bellwether
Lisa Nesselson,False,Screen International,35,0.9142857142857143,0.8857142857142857,Bellwether
Luke Parker,False,VoiceBoxOffice,35,0.9142857142857143,0.5714285714285714,Bellwether
Susana Polo,False,Polygon,35,0.9142857142857143,0.8571428571428571,Bellwether
Jack Blackwell,False,One Room With A View,70,0.9142857142857143,0.8285714285714286,Bellwether
Colin Covert,True,Minneapolis Star Tribune,23,0.9130434782608695,0.8260869565217391,Bellwether
Mark Sells,False,Film Threat,23,0.9130434782608695,0.782608695652174,Bellwether
Liam Hanlon,False,Film Ireland Magazine,23,0.9130434782608695,0.782608695652174,Bellwether
Caroline Siede,True,AV Club,23,0.9130434782608695,0.5652173913043478,Bellwether
Matt Donato,False,Atom Insider,23,0.9130434782608695,0.8695652173913043,Bellwether
Donald McLean,False,Bay Area Reporter,23,0.9130434782608695,0.9130434782608695,Bellwether
Tom Charity,False,Total Film,23,0.9130434782608695,0.6086956521739131,Bellwether
Craig Skinner,False,HeyUGuys,34,0.9117647058823529,0.7941176470588235,Bellwether
Panos Kotzathanasis,False,Asian Movie Pulse,90,0.9111111111111111,0.8777777777777778,Bellwether
Lindsay Pugh,False,Woman in Revolt,45,0.9111111111111111,0.9333333333333333,Bellwether
Alex Abad-Santos,False,Vox,56,0.9107142857142857,0.6607142857142857,Bellwether
Anupama Chopra,False,Film Companion,67,0.9104477611940298,0.746268656716418,Bellwether
Emanuel Levy,True,Variety,188,0.9095744680851063,0.5531914893617021,Bellwether
Ruhaan Shah,False,Film Companion,22,0.9090909090909091,0.9545454545454546,Bellwether
Michelle Devereaux,False,The Skinny,22,0.9090909090909091,0.7272727272727273,Bellwether
Guy Dixon,True,Globe and Mail,22,0.9090909090909091,0.9545454545454546,Bellwether
Betsy Sherman,False,Arts Fuse,44,0.9090909090909091,0.7727272727272727,Bellwether
Gary Garrison,False,The Playlist,22,0.9090909090909091,0.8181818181818182,Bellwether
Jason Bailey,False,Vice,22,0.9090909090909091,0.8181818181818182,Bellwether
Stella Papamichael,False,Film4,22,0.9090909090909091,0.4090909090909091,Bellwether
Dan Lybarger,False,Film Threat,22,0.9090909090909091,0.9090909090909091,Bellwether
Bob Ross,False,Tampa Tribune,22,0.9090909090909091,0.5909090909090909,Bellwether
Sandie Angulo Chen,True,Washington Post,22,0.9090909090909091,0.5454545454545454,Bellwether
Brad Laidman,False,Film Threat,98,0.9081632653061225,0.9183673469387755,Bellwether
Matt Rodriguez,False,Shakefire,76,0.9078947368421053,0.7368421052631579,Bellwether
Chris Laverty,False,Clothes on Film,65,0.9076923076923077,0.8461538461538461,Bellwether
Stephen A. Russell,False,The New Daily (Australia),97,0.9072164948453608,0.8247422680412371,Bellwether
Brian Gill,False,Mad About Movies Podcast,107,0.9065420560747663,0.719626168224299,Bellwether
Lisa Trifone,False,Third Coast Review,107,0.9065420560747663,0.8691588785046729,Bellwether
Abby Olcese,False,Rave Reviews,32,0.90625,0.75,Bellwether
Matt Singer,True,Village Voice,32,0.90625,0.25,Bellwether
Sean Axmaker,False,Turner Classic Movies Online,96,0.90625,0.9270833333333334,Bellwether
Caroline Jowett,False,Daily Express (UK),32,0.90625,0.75,Bellwether
Frank Ochieng,False,SF Crowsnest,223,0.905829596412556,0.47533632286995514,Bellwether
Rochelle Siemienowicz,False,sbs.com.au,53,0.9056603773584906,0.8867924528301887,Bellwether
Jason Zinoman,True,New York Times,21,0.9047619047619048,0.8571428571428571,Bellwether
Argun Ulgen,False,PopMatters,21,0.9047619047619048,0.9047619047619048,Bellwether
Rebecca Liu,False,Another Gaze,21,0.9047619047619048,0.8571428571428571,Bellwether
Joelle Monique,False,Black Girl Nerds,21,0.9047619047619048,0.8571428571428571,Bellwether
Christy Lemire,True,"Journal News (Westchester, NY)",21,0.9047619047619048,0.6190476190476191,Bellwether
Hannah Lodge,False,The Beat,21,0.9047619047619048,0.5238095238095238,Bellwether
AJ Caulfield,False,The Young Folks,21,0.9047619047619048,0.6190476190476191,Bellwether
Chris Osterndorf,False,The Daily Dot,21,0.9047619047619048,0.42857142857142855,Bellwether
Gonzalo Lira Galván,False,Cine Premiere,21,0.9047619047619048,0.5714285714285714,Bellwether
Sam Adams,True,BBC.com,21,0.9047619047619048,0.8571428571428571,Bellwether
Esther Zuckerman,False,Thrillist,52,0.9038461538461539,0.7115384615384616,Bellwether
Sean Axmaker,False,MSN.com,83,0.9036144578313253,0.7228915662650602,Bellwether
Amanda Mae Meyncke,True,Film.com,31,0.9032258064516129,0.8064516129032258,Bellwether
Christopher Schobert,False,The Film Stage,31,0.9032258064516129,0.7419354838709677,Bellwether
Sarah Ward,False,Goethe-Institute Australien Magazine,31,0.9032258064516129,0.7741935483870968,Bellwether
Annalee Newitz,False,Ars Technica,31,0.9032258064516129,0.7741935483870968,Bellwether
Michael J. Casey,False,Boulder Weekly,227,0.9030837004405287,0.9162995594713657,Bellwether
Nick Schager,False,The Daily Beast,154,0.9025974025974026,0.7792207792207793,Bellwether
Pilar Ayuso,False,El Nuevo Herald (Miami),41,0.9024390243902439,0.7317073170731707,Bellwether
Ryan Stewart,False,Slant Magazine,41,0.9024390243902439,0.24390243902439024,Bellwether
Lucy Popescu,False,CineVue,41,0.9024390243902439,0.926829268292683,Bellwether
Eli Glasner,False,CBC News Network,51,0.9019607843137255,0.7254901960784313,Bellwether
Sarah Ward,False,Screen International,61,0.9016393442622951,0.7213114754098361,Bellwether
Jon Winkler,False,The Young Folks,71,0.9014084507042254,0.5070422535211268,Bellwether
Amy West,False,SciFiNow,20,0.9,0.75,Bellwether
David Elliott,False,Copley News Service,20,0.9,0.4,Bellwether
David Gurney,False,Common Sense Media,30,0.9,0.9666666666666667,Bellwether
Adrian MacKinder,False,Future Movies UK,20,0.9,0.85,Bellwether
Glenn Abel,True,Hollywood Reporter,20,0.9,0.95,Bellwether
Jason Gorber,False,Filmfest,20,0.9,1.0,Bellwether
Benjamin Mercer,False,Brooklyn Magazine,30,0.9,0.7333333333333333,Bellwether
Chris Buckle,False,The Skinny,30,0.9,0.7,Bellwether
Max Nelson,False,Film Comment Magazine,20,0.9,0.85,Bellwether
Eric Meyerson,False,Filmcritic.com,30,0.9,0.6666666666666666,Bellwether
Nabila Hatimy,False,The Star (Kenya),30,0.9,0.5333333333333333,Bellwether
Brandon Judell,False,Huffington Post,50,0.9,0.64,Bellwether
Edward Douglas,False,The Beat,30,0.9,0.6,Bellwether
Siobhan Synnot,False,Scotland on Sunday,20,0.9,0.7,Bellwether
Sarah Griffin,False,Film Ireland Magazine,20,0.9,0.8,Bellwether
Christopher Campbell,False,Movies.com,60,0.9,0.9166666666666666,Bellwether
Kevin Courrier,True,Globe and Mail,20,0.9,0.45,Bellwether
Emma Simmonds,False,The List,378,0.8994708994708994,0.8306878306878307,Bellwether
Alison Gillmor,False,Winnipeg Free Press,188,0.898936170212766,0.7340425531914894,Bellwether
Georgia Morgan,False,Liverpool Echo,49,0.8979591836734694,0.7551020408163265,Bellwether
John Nugent,False,Empire Magazine,49,0.8979591836734694,0.7142857142857143,Bellwether
Nathalie Atkinson,False,National Post,49,0.8979591836734694,0.6326530612244898,Bellwether
Robert W. Butler,False,Butler's Cinema Scene,88,0.8977272727272727,0.75,Bellwether
Anita Katz,False,San Francisco Examiner,262,0.8969465648854962,0.8015267175572519,Bellwether
Dominick Suzanne-Mayer,False,Consequence of Sound,252,0.8968253968253969,0.6547619047619048,Bellwether
Frank Ochieng,False,Movie Eye,745,0.8966442953020134,0.3959731543624161,Bellwether
Christopher Preston,False,One Room With A View,58,0.896551724137931,0.7931034482758621,Bellwether
Asher Luberto,False,L.A. Weekly,29,0.896551724137931,0.6896551724137931,Bellwether
Jim Ridley,False,Nashville Scene,29,0.896551724137931,0.8620689655172413,Bellwether
Maria Sciullo,False,Pittsburgh Post-Gazette,29,0.896551724137931,0.8620689655172413,Bellwether
Lance Goldenberg,False,"Weekly Planet (Tampa, FL)",29,0.896551724137931,0.6896551724137931,Bellwether
Hugo Lara,False,Correcámara,29,0.896551724137931,0.8620689655172413,Bellwether
Elizabeth Kerr,True,Hollywood Reporter,29,0.896551724137931,0.7241379310344828,Bellwether
Elissa Suh,True,StageBuddy.com,29,0.896551724137931,0.9310344827586207,Bellwether
Marisa Mirabal,False,Birth.Movies.Death.,29,0.896551724137931,0.7931034482758621,Bellwether
Philip Kemp,False,Total Film,164,0.8963414634146342,0.926829268292683,Bellwether
David Parkinson,False,Radio Times,442,0.8959276018099548,0.8076923076923077,Bellwether
Karl Delossantos,False,Smash Cut Reviews,259,0.8957528957528957,0.8378378378378378,Bellwether
Paul Clinton (Boxoffice),False,Boxoffice Magazine,67,0.8955223880597015,0.31343283582089554,Bellwether
Sean Fennessey,False,The Ringer,67,0.8955223880597015,0.9552238805970149,Bellwether
Kevin Harley,False,Total Film,267,0.8951310861423221,0.850187265917603,Bellwether
Landon Palmer,False,Film School Rejects,38,0.8947368421052632,0.7894736842105263,Bellwether
Michael Upchurch,True,Seattle Times,38,0.8947368421052632,0.868421052631579,Bellwether
Dustin Rowles,False,Pajiba,57,0.8947368421052632,0.49122807017543857,Bellwether
Fernanda Solórzano,False,Letras Libres,150,0.8933333333333333,0.8866666666666667,Bellwether
Kate Erbland,True,Film.com,28,0.8928571428571429,0.5714285714285714,Bellwether
Uriel Barco,False,Daily Trend (Mexico),28,0.8928571428571429,0.7857142857142857,Bellwether
Laurence Phelan,True,Independent (UK),28,0.8928571428571429,0.8571428571428571,Bellwether
Ed Frankl,False,The Film Stage,28,0.8928571428571429,0.8571428571428571,Bellwether
Jennifer Merin,False,About.com,196,0.8928571428571429,0.9489795918367347,Bellwether
Amie Simon,False,I Love Splatter,28,0.8928571428571429,0.7142857142857143,Bellwether
David Lee Dallas,False,Slant Magazine,28,0.8928571428571429,0.35714285714285715,Bellwether
Danny Minton,False,Houston Community Newspapers,28,0.8928571428571429,0.9285714285714286,Bellwether
Wenlei Ma,False,News.com.au,353,0.8923512747875354,0.7932011331444759,Bellwether
Jen Chaney,True,Washington Post,65,0.8923076923076924,0.4,Bellwether
Tom Glasson,False,Concrete Playground,304,0.8914473684210527,0.6546052631578947,Bellwether
Miles Surrey,False,The Ringer,46,0.8913043478260869,0.6304347826086957,Bellwether
Matt Shiverdecker,False,Austin American-Statesman,46,0.8913043478260869,0.9782608695652174,Bellwether
Allyson Johnson,False,The Young Folks,110,0.8909090909090909,0.8727272727272727,Bellwether
AP Kryza,False,Willamette Week,55,0.8909090909090909,0.8545454545454545,Bellwether
Dan Lybarger,False,KC Active,128,0.890625,0.6015625,Bellwether
Eric D. Snider,False,About.com,64,0.890625,0.859375,Bellwether
Sarah Boslaugh,False,PopMatters,73,0.8904109589041096,0.8767123287671232,Bellwether
Mark Sells,False,The Reel Deal,91,0.8901098901098901,1.0,Bellwether
Alexa Dalby,False,Dog and Wolf,308,0.8896103896103896,0.8863636363636364,Bellwether
Charlotte Harrison,False,VultureHound,36,0.8888888888888888,0.6388888888888888,Bellwether
Ed Williamson,False,TheShiznit.co.uk,27,0.8888888888888888,0.8518518518518519,Bellwether
The Sneak,False,The Sun (UK),27,0.8888888888888888,0.7777777777777778,Bellwether
Jen Chaney,False,The Dissolve,27,0.8888888888888888,0.5185185185185185,Bellwether
Collin Brennan,False,Consequence of Sound,27,0.8888888888888888,0.6296296296296297,Bellwether
Josephine O'Neill,False,Daily Telegraph (Australia),45,0.8888888888888888,0.8222222222222222,Bellwether
Kambole Campbell,False,One Room With A View,36,0.8888888888888888,0.75,Bellwether
Mara Reinstein,False,MaraMovies.com,45,0.8888888888888888,0.6,Bellwether
Jonathan Romney,False,Screen International,99,0.8888888888888888,0.8282828282828283,Bellwether
Nathanael Hood,False,Audiences Everywhere,27,0.8888888888888888,0.6666666666666666,Bellwether
Rory O'Connor,False,The Film Stage,63,0.8888888888888888,0.9206349206349206,Bellwether
Calum Marsh,True,Village Voice,54,0.8888888888888888,0.6666666666666666,Bellwether
Fernando Moreno,False,Ibero 90.9,27,0.8888888888888888,1.0,Bellwether
Christy Lemire,True,What the Flick?!,54,0.8888888888888888,0.7407407407407407,Bellwether
J. Hoberman,False,The New York Review of Books,27,0.8888888888888888,0.8518518518518519,Bellwether
Tim Brennan,False,About Boulder,231,0.8874458874458875,0.7532467532467533,Bellwether
Allison Shoemaker,False,Consequence of Sound,62,0.8870967741935484,0.6129032258064516,Bellwether
Haleigh Foutch,False,Collider,62,0.8870967741935484,0.9354838709677419,Bellwether
Robert Abele,True,TheWrap,177,0.8870056497175142,0.559322033898305,Bellwether
Chris Agar,False,Screen Rant,115,0.8869565217391304,0.5130434782608696,Bellwether
Rob Aldam,False,Backseat Mafia,265,0.8867924528301887,0.9509433962264151,Bellwether
David Fontana,False,Film Inquiry,132,0.8863636363636364,0.6287878787878788,Bellwether
Alexandra MacAaron,False,Women's Voices for Change,167,0.8862275449101796,0.8802395209580839,Bellwether
Oscar Goff,False,Boston Hassle,79,0.8860759493670886,0.8354430379746836,Bellwether
Arturo Aguilar,False,Rolling Stone Mexico,35,0.8857142857142857,0.8571428571428571,Bellwether
Robert Lloyd,True,Los Angeles Times,35,0.8857142857142857,0.7142857142857143,Bellwether
Stephanie Watts,False,One Room With A View,35,0.8857142857142857,0.8857142857142857,Bellwether
Bruce Fretts,True,Entertainment Weekly,35,0.8857142857142857,0.34285714285714286,Bellwether
Geoffrey Kleinman,False,DVDTalk.com,35,0.8857142857142857,0.5714285714285714,Bellwether
Michael Gingold,False,Rue Morgue Magazine,61,0.8852459016393442,0.6885245901639344,Bellwether
Hoai-Tran Bui,False,Slashfilm,61,0.8852459016393442,0.5901639344262295,Bellwether
Bob Mondello,True,NPR,348,0.8850574712643678,0.8994252873563219,Bellwether
Nick Hilditch,True,BBC.com,26,0.8846153846153846,0.9615384615384616,Bellwether
Erik Anderson,False,AwardsWatch,78,0.8846153846153846,0.9358974358974359,Bellwether
Tony Norman,False,Pittsburgh Post-Gazette,26,0.8846153846153846,0.7307692307692307,Bellwether
Jeremiah Kipp,False,Flipside Movie Emporium,26,0.8846153846153846,0.5769230769230769,Bellwether
Amy Taubin,False,Film Comment Magazine,78,0.8846153846153846,0.9358974358974359,Bellwether
